unified_id,entity_type,entity_type_name,entity_name
0,2,Gene,STARD3
1,2,Gene,PYCR3
2,2,Gene,DDX1
3,2,Gene,COX8A
4,2,Gene,PLAAT1
5,2,Gene,GPS2
6,2,Gene,CDCA2
7,2,Gene,KCND3
8,2,Gene,RIOX2
9,2,Gene,KRBA1
10,2,Gene,GPN2
11,2,Gene,MYL6
12,2,Gene,PRDM10
13,2,Gene,TG
14,2,Gene,CCNA1
15,2,Gene,TBC1D16
16,2,Gene,KPNA5
17,2,Gene,UGT1A7
18,2,Gene,ERC2
19,2,Gene,SEMA3D
20,2,Gene,DEPP1
21,2,Gene,ERCC4
22,2,Gene,NXN
23,2,Gene,CD96
24,2,Gene,NME7
25,2,Gene,SKP2
26,2,Gene,TRPV5
27,2,Gene,NR2F6
28,2,Gene,TIMM44
29,2,Gene,CTTNBP2
30,2,Gene,TMED3
31,2,Gene,PSMB4
32,2,Gene,EPB42
33,2,Gene,PITRM1
34,2,Gene,SMG6
35,2,Gene,ZNF140
36,2,Gene,TRAIP
37,2,Gene,PHKG1
38,2,Gene,GPRIN2
39,2,Gene,ADGRG1
40,2,Gene,CHAC2
41,2,Gene,AATF
42,2,Gene,C17orf67
43,2,Gene,SLC36A2
44,2,Gene,TIMM23B
45,2,Gene,SP6
46,2,Gene,CYB561
47,2,Gene,CENPX
48,2,Gene,NAGPA
49,2,Gene,TFAP2B
50,2,Gene,USP30
51,2,Gene,WDR31
52,2,Gene,GIN1
53,2,Gene,B3GNT7
54,2,Gene,TAP2
55,2,Gene,PDE4DIP
56,2,Gene,SLAMF8
57,2,Gene,MST1R
58,2,Gene,MPP3
59,2,Gene,RNF6
60,2,Gene,SLC35D2
61,2,Gene,ITGA10
62,2,Gene,MAGED2
63,2,Gene,CREBZF
64,2,Gene,HNRNPR
65,2,Gene,UNC50
66,2,Gene,CTDSP2
67,2,Gene,AMOT
68,2,Gene,ZNF7
69,2,Gene,HAS2
70,2,Gene,GLE1
71,2,Gene,LAMTOR2
72,2,Gene,GPR39
73,2,Gene,DDIAS
74,2,Gene,APEX1
75,2,Gene,ECH1
76,2,Gene,METRN
77,2,Gene,ZNF32
78,2,Gene,ENDOG
79,2,Gene,FANCI
80,2,Gene,ZNF154
81,2,Gene,MTX1
82,2,Gene,TASOR
83,2,Gene,SH3PXD2B
84,2,Gene,TAOK1
85,2,Gene,APEX2
86,2,Gene,SFMBT2
87,2,Gene,NSA2
88,2,Gene,ZMYM4
89,2,Gene,CD163
90,2,Gene,SLC52A3
91,2,Gene,CHD9
92,2,Gene,WDR82
93,2,Gene,IDI1
94,2,Gene,KCNS3
95,2,Gene,SLC25A28
96,2,Gene,CIDEA
97,2,Gene,CDK4
98,2,Gene,RAB3IP
99,2,Gene,CREBBP
100,2,Gene,GLIS2
101,2,Gene,RBBP6
102,2,Gene,UBL4A
103,2,Gene,PIP4K2B
104,2,Gene,TAS2R1
105,2,Gene,BACE2
